id,genre_ids,title,rating,release,ogLanguage,overview
795607,"[16, 14, 28, 12]",Green Snake,8.5,2021-12-01,zh,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life."
696374,[10749],Gabriel's Inferno,8.5,2020-05-29,en,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love."
76115,"[10402, 18, 10749]",The Phantom of the Opera at the Royal Albert Hall,8.5,2011-10-02,en,"A disfigured musical genius, hidden away in the Paris Opera House, terrorises the opera company for the unwitting benefit of a young protégée whom he trains and loves. The 25th anniversary of the first public performance of Phantom of the Opera was celebrated with a grand performance at the Royal Albert Hall in London."
496243,"[35, 53, 18]",Parasite,8.5,2019-10-11,ko,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."
283559,"[99, 10402]",One Direction: Where We Are – The Concert Film,8.5,2014-10-11,en,"Where We Are: Live from San Siro Stadium features the entire 23 track concert filmed at San Siro Stadium in Milan in June 2014, as well as 24 minutes of bonus content including backstage footage of One Direction and their crew."
724089,[10749],Gabriel's Inferno: Part II,8.5,2020-07-31,en,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?"
377462,"[99, 80, 36]",O.J.: Made in America,8.5,2016-05-20,en,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation."
738362,[99],The Fresh Prince of Bel-Air Reunion,8.5,2020-11-18,en,"Join Will Smith, Tatyana Ali, Karyn Parsons, Joseph Marcell, Daphne Maxwell Reid, Alfonso Ribeiro and DJ Jazzy Jeff, for a funny and heartfelt night full of music and dancing in honor of the show that ran for six seasons and 148 episodes."
533514,"[16, 14, 10749, 18]",Violet Evergarden: The Movie,8.5,2021-03-30,ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again."
155,"[18, 28, 80, 53]",The Dark Knight,8.5,2008-07-18,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
761053,"[10749, 35]",Gabriel's Inferno: Part III,8.5,2020-11-19,en,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.
122,"[12, 14, 28]",The Lord of the Rings: The Return of the King,8.5,2003-12-17,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm."
373558,"[10402, 99]",Taylor Swift: The 1989 World Tour - Live,8.5,2015-12-20,en,"Filmed in front of 76,000 fans at the ANZ Stadium in Sydney, Australia, ""The 1989 World Tour Live"" captures Taylor Swift's entire performance while also mixing in behind-the-scene, rehearsal, and special guest footage from her 1989 Tour."
545611,"[28, 12, 878]",Everything Everywhere All at Once,8.5,2022-03-25,en,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes."
652837,"[16, 18, 10749]","Josee, the Tiger and the Fish",8.5,2021-07-12,ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook."
774372,"[10402, 99]","ariana grande: excuse me, i love you",8.4,2020-12-21,en,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.
164558,"[99, 10402]",One Direction: This Is Us,8.4,2013-08-30,en,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis's really like to be One Direction."
378064,"[16, 18, 10749]",A Silent Voice: The Movie,8.4,2017-10-20,ja,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?"
324857,"[28, 12, 16, 878]",Spider-Man: Into the Spider-Verse,8.4,2018-12-14,en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension."
283566,"[16, 28, 878, 18]",Evangelion: 3.0+1.0 Thrice Upon a Time,8.4,2021-08-13,ja,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each of them live a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion."
598,"[18, 80]",City of God,8.4,2003-01-17,pt,"Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes..."
4935,"[14, 16, 12]",Howl's Moving Castle,8.4,2005-06-10,ja,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
568300,"[10402, 99]",BTS World Tour: Love Yourself in Seoul,8.4,2019-01-26,ko,Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon.
92321,"[10749, 16, 14]",Hotarubi no Mori e,8.4,2012-06-30,ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits..."
441130,"[16, 10751, 12, 14]",Wolfwalkers,8.4,2020-11-13,en,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy."
120,"[12, 14, 28]",The Lord of the Rings: The Fellowship of the Ring,8.4,2001-12-19,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
704264,"[28, 12, 16]",Primal: Tales of Savagery,8.4,2019-11-21,en,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival."
423,"[18, 10752]",The Pianist,8.4,2002-12-25,en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city."
244786,"[18, 10402]",Whiplash,8.4,2014-10-10,en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
157336,"[12, 18, 878]",Interstellar,8.4,2014-11-05,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
121,"[12, 14, 28]",The Lord of the Rings: The Two Towers,8.4,2002-12-18,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
635302,"[16, 28, 12, 14]",Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.4,2021-02-26,ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!"
27205,"[28, 878, 12]",Inception,8.4,2010-07-16,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
572154,"[16, 35, 10749, 18, 14]",Rascal Does Not Dream of a Dreaming Girl,8.4,2019-10-02,ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara."
740996,"[99, 10402]",BLACKPINK: Light Up the Sky,8.3,2020-10-14,ko,Record-shattering Korean girl band BLACKPINK tell their story —  and detail the hard fought journey of the dreams and trials behind their meteoric rise.
592350,"[16, 28, 14, 12]",My Hero Academia: Heroes Rising,8.3,2020-02-26,ja,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope."
527641,"[10749, 18]",Five Feet Apart,8.3,2019-03-15,en,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction."
556574,"[36, 18]",Hamilton,8.3,2020-07-03,en,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now."
618344,"[16, 28, 12, 14, 878]",Justice League Dark: Apokolips War,8.3,2020-05-05,en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants."
630566,"[10402, 18, 10749]",Clouds,8.3,2020-10-09,en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon."
575813,[18],Better Days,8.3,2019-11-08,zh,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations."
576017,"[99, 10752]",For Sama,8.3,2019-07-26,en,"A love letter from a young mother to her daughter, the film tells the story of Waad al-Kateab’s life through five years of the uprising in Aleppo, Syria as she falls in love, gets married and gives birth to Sama, all while cataclysmic conflict rises around her.  Her camera captures incredible stories of loss, laughter and survival as Waad wrestles with an impossible choice– whether or not to flee the city to protect her daughter’s life, when leaving means abandoning the struggle for freedom for which she has already sacrificed so much."
447362,"[18, 10749]",Life in a Year,8.3,2020-11-27,en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left."
537061,"[16, 10751, 14, 10402, 10770, 878]",Steven Universe: The Movie,8.3,2019-09-02,en,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth."
299534,"[12, 878, 28]",Avengers: Endgame,8.3,2019-04-26,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
533592,"[16, 12, 80, 10751, 35]",Scooby-Doo! and the Gourmet Ghost,8.3,2018-08-28,en,"The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat."
791373,"[28, 12, 14, 878]",Zack Snyder's Justice League,8.3,2021-03-18,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
265177,[18],Mommy,8.3,2014-08-29,fr,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent."
522924,"[35, 18, 10749]",The Art of Racing in the Rain,8.3,2019-08-09,en,"A family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver."
508965,"[16, 10751, 12, 35]",Klaus,8.3,2019-11-08,en,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys."
299536,"[12, 28, 878]",Avengers: Infinity War,8.3,2018-04-27,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
670,"[18, 53, 9648, 28]",Oldboy,8.3,2003-11-21,ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors."
290098,"[53, 18, 10749]",The Handmaiden,8.3,2016-10-21,ko,"1930s Korea, in the period of Japanese occupation, a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle, but she's involved in something greater that will soon be revealed."
897429,"[18, 10402]",All Too Well: The Short Film,8.3,2021-11-12,en,Short film featuring the extended version of the song “All Too Well” by Taylor Swift. A troubled couple's romance blossoms before it eventually falls apart.
110420,"[16, 18, 10751, 14]",Wolf Children,8.3,2013-11-26,ja,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her."
77338,"[18, 35]",The Intouchables,8.3,2011-11-02,fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.
526702,[18],Black Beauty,8.3,2020-11-27,en,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures."
476292,"[16, 14, 10749, 18]",Maquia: When the Promised Flower Blooms,8.3,2018-07-20,ja,"Maquia is a member of a special race called the Iorph who can live for hundreds of years. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.  One day the kingdom of Mezarte invades her homeland. They already have what is left of the giant dragons, the Renato, under their control, and now their king wishes to add the immortality to his bloodline.  They ravage the Iorph homeland and kill most of its inhabitants. Caught in the midst of the attack, Maquia is carried off by one of the Renato. It soon dies, and she is left deserted in a forest, now truly alone save for the cries of a single baby off in the distance. Maquia finds the baby in a destroyed village and decides to raise him as her own, naming him Ariel. Although she knows nothing of the human world, how to raise a child that ages much faster than her."
504253,"[16, 18, 10749, 10751]",I Want to Eat Your Pancreas,8.3,2019-02-07,ja,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days."
610892,"[18, 14, 16]",Violet Evergarden: Eternity and the Auto Memory Doll,8.2,2020-02-17,ja,"Isabella, the daughter of the noble York family, is enrolled in an all-girls academy to be groomed into a dame worthy of nobility. However, she has given up on her future, seeing the prestigious school as nothing more than a prison from the outside world. Her family notices her struggling in her lessons and decides to hire Violet Evergarden to personally tutor her under the guise of a handmaiden.  At first, Isabella treats Violet coldly. Violet seems to be able to do everything perfectly, leading Isabella to assume that she was born with a silver spoon. After some time, Isabella begins to realize that Violet has had her own struggles and starts to open up to her. Isabella soon reveals that she has lost contact with her beloved younger sister, whom she yearns to see again.  Having experienced the power of words through her past clientele, Violet asks if Isabella wishes to write a letter to Taylor. Will Violet be able to help Isabella convey her feelings to her long-lost sister?"
490132,"[18, 35]",Green Book,8.2,2018-11-16,en,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book."
752939,"[10402, 99]",Shawn Mendes: In Wonder,8.2,2020-11-23,en,"A portrait of singer-songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey."
664767,"[16, 28, 14]",Mortal Kombat Legends: Scorpion's Revenge,8.2,2020-04-12,en,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament."
810877,"[16, 18, 27]",Save Ralph,8.2,2021-04-06,en,"Ralph, a bunny being interviewed for a documentary, goes through his daily routine as a “tester” in a lab."
663558,"[16, 28, 14]",New Gods: Nezha Reborn,8.2,2021-04-12,zh,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones."
568332,"[10402, 99]",Taylor Swift: Reputation Stadium Tour,8.2,2018-12-31,en,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
531428,"[18, 10749]",Portrait of a Lady on Fire,8.2,2019-12-06,fr,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
354912,"[10751, 16, 14, 10402, 35, 12]",Coco,8.2,2017-11-22,en,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."
398818,"[10749, 18]",Call Me by Your Name,8.2,2017-11-24,en,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant."
470044,"[80, 18]",The Hate U Give,8.2,2018-10-19,en,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth."
593691,"[99, 10402]",Homecoming: A Film by Beyoncé,8.2,2019-04-17,en,"This intimate, in-depth look at Beyoncé's celebrated 2018 Coachella performance reveals the emotional road from creative concept to cultural movement."
16869,"[18, 28, 53, 10752]",Inglourious Basterds,8.2,2009-08-21,en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers."
399106,"[10751, 16]",Piper,8.2,2016-06-17,en,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive."
823754,[35],Bo Burnham: Inside,8.2,2021-07-22,en,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special."
98,"[28, 18, 12]",Gladiator,8.2,2000-05-01,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
1124,"[18, 9648, 878]",The Prestige,8.2,2006-10-19,en,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
77,"[9648, 53]",Memento,8.2,2001-03-16,en,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why."
653610,[99],Disclosure,8.2,2020-01-27,en,"An investigation of how Hollywood's fabled stories have deeply influenced how Americans feel about transgender people, and how transgender people have been taught to feel about themselves."
518068,"[18, 14, 28]",Along with the Gods: The Last 49 Days,8.2,2018-08-01,ko,"In the afterlife, one guardian helps a man through his trials, while his two colleagues help a former guardian on earth."
297610,"[16, 14, 27]",Abraham Lincoln Vampire Hunter: The Great Calamity,8.2,2012-10-23,en,"A motion comic follow-up to a chapter from Abraham Lincoln Vampire Hunter novel where Abe's friend, Edgar Allan Poe, tells him the tale of historical Hungarian countess Elizabeth Bathory, often tied to vampire legends due to her brutality."
11324,"[18, 53, 9648]",Shutter Island,8.2,2010-02-18,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor."
508442,"[16, 35, 14, 10751]",Soul,8.2,2020-12-25,en,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth."
517814,[18],Capernaum,8.2,2018-12-14,ar,"Zain, a 12-year-old boy scrambling to survive on the streets of Beirut, sues his parents for having brought him into such an unjust world, where being a refugee with no documents means that your rights can easily be denied."
50014,[18],The Help,8.2,2011-08-10,en,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines."
406997,"[18, 10751]",Wonder,8.2,2017-11-17,en,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time."
324786,"[18, 36, 10752]",Hacksaw Ridge,8.2,2016-11-04,en,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor."
475557,"[80, 53, 18]",Joker,8.2,2019-10-04,en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
615457,"[28, 80, 53]",Nobody,8.2,2021-03-26,en,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind."
472454,"[18, 10752]",Ayla: The Daughter of War,8.2,2019-07-19,tr,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, this little girl captures the heart of Süleyman, who risks his own life to save her, smuggling her into his Army base and out of harms way. Not knowing her name and unable to communicate with her, Süleyman names her Ayla, in reminiscence of the moon on the fateful night during which they met. The two form an instantaneous and inseparable bond, and Ayla, almost effortlessly, brings an uncanny joy to the Turkish brigade in the grip of war. As the war comes to a close however, Süleyman's brigade is told that they will be returning home. Süleyman cannot bear abandoning Ayla, and does everything within his power to take her with him. After repeated failure, he is forced to give Ayla to an orphanage, but doesn't give up on the hope of one day reuniting with her. Will the two ever get back together?"
600354,[18],The Father,8.2,2021-02-26,en,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
606856,"[12, 10751]",Togo,8.2,2019-12-20,en,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo."
528644,"[16, 35, 10751, 12]",Bilby,8.2,2019-02-22,en,"Threatened daily by the deadly residents and harsh environment of Australia’s Outback, a lonesome bilby finds himself an unwitting protector, and unexpected friend, to a helpless (and quite adorable) baby bird."
1422,"[18, 53, 80]",The Departed,8.2,2006-10-05,en,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them."
550776,"[18, 10770]",Believe Me: The Abduction of Lisa McVey,8.2,2018-09-30,en,"On the night she plans on taking her own life, 17-year-old 'Lisa McVey' is kidnapped and finds herself fighting to stay alive and manages to be a victim of rape. She manages to talk her attacker into releasing her, but when she returns home, no one believes her story except for one detective, who suspects she was abducted by a serial killer. Based on horrifying true events."
